tray_no,tray,microbe_status,treatment,fixed_environment,environment_group,microbe_treatment,treatment_environment,microbe_environment,available_day_count,day1_observed_ndvi,day6_observed_ndvi,day7_observed_ndvi,day7_adjusted_ndvi,day1_observed_ndre,day6_observed_ndre,day7_observed_ndre,day7_adjusted_ndre,day7_imputed_cells,observed_ndvi_rate_day1_to_day7_per_day,adjusted_ndvi_rate_day1_to_day7_per_day,observed_ndre_rate_day1_to_day7_per_day,adjusted_ndre_rate_day1_to_day7_per_day,observed_ndvi_rate_day6_to_day7_per_day,adjusted_ndvi_rate_day6_to_day7_per_day,observed_ndre_rate_day6_to_day7_per_day,adjusted_ndre_rate_day6_to_day7_per_day,observed_ndvi_auc,adjusted_ndvi_auc,observed_ndre_auc,adjusted_ndre_auc,day7_ndvi_adjustment,day7_ndre_adjustment,day7_adjusted_ndvi_score,day7_adjusted_ndre_score,adjusted_ndvi_rate_day1_to_day7_per_day_score,adjusted_ndre_rate_day1_to_day7_per_day_score,adjusted_ndvi_auc_score,adjusted_ndre_auc_score,overall_adjusted_ms_score,overall_adjusted_ms_rank
8,Tray 8,Microbes,Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,7,0.3253788960831505,0.3116157518965857,0.30998500372682297,0.30669096899884085,-0.0335271257192029,-0.035699100427362754,-0.04981441527072868,-0.051754877733973005,8,-0.001924236544540943,-0.002335990885538708,-0.0020359111939407225,-0.0022784690018462627,-0.0005435827232542397,-0.0016415942992482797,-0.0047051049477886435,-0.0053519257688700835,2.492708712177617,2.4877676600856438,-0.2658266601279524,-0.26873735382281894,-0.0032940347279821203,-0.0019404624632443218,100.0,93.84088370911465,100.0,75.18149572959551,80.79203916771837,71.41749001302429,86.8719847699088,1
10,Tray 10,Microbes,Moisture,Outside,Outside,Microbes | Moisture,Moisture | Outside,Microbes | Outside,7,0.3199477642774582,0.3123409780008452,0.2972265822546823,0.2972265822546823,-0.024403130448107307,-0.024942933014660502,-0.05320655110159086,-0.05320655110159086,0,-0.0028401477528469873,-0.0028401477528469873,-0.003600427581685444,-0.003600427581685444,-0.005038131915387638,-0.005038131915387638,-0.009421206028976786,-0.009421206028976786,2.4697643712162973,2.4697643712162973,-0.27363849025548104,-0.27363849025548104,0.0,0.0,80.14143027213001,89.86055171171719,92.83273117981477,56.83995037516914,69.85520173205863,69.70381569695145,76.53894682797352,2
7,Tray 7,Microbes,Ideal,Outside,Outside,Microbes | Ideal,Ideal | Outside,Microbes | Outside,7,0.33116555554526195,0.3130244144371578,0.29242185418094907,0.2921954814876829,-0.01978595337423027,-0.02658842670997335,-0.05813250342117884,-0.0583444395036037,2,-0.00484296267053911,-0.004871259257197384,-0.00479331875586857,-0.004819810766171679,-0.006867520085402905,-0.00694297764982497,-0.010514692237068496,-0.010585337597876783,2.5163628068353447,2.5160232477954456,-0.18667300597869252,-0.1869909101023298,-0.0002263726932661969,-0.00021193608242486145,69.58496548574931,75.7730151750736,63.95774583413553,39.92158975194908,97.95705671944455,100.0,74.532395494392,3
6,Tray 6,Microbes,Heat,Dynamic Heat,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,7,0.3319139433758599,0.31366727011544365,0.2923297992774418,0.2923297992774418,-0.009047908325114146,-0.022383604067103307,-0.05988421331026719,-0.05988421331026719,0,-0.004948018012302262,-0.004948018012302262,-0.006354538123144131,-0.006354538123144131,-0.0071124902793339535,-0.0071124902793339535,-0.012500203081054628,-0.012500203081054628,2.5193861667598996,2.5193861667598996,-0.18847383523721595,-0.18847383523721595,0.0,0.0,69.86679665619118,71.55112126413525,62.86651675879493,18.62797900355972,100.0,99.48149765850674,70.3989852235313,4
11,Tray 11,No Microbes,Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,7,0.3162529728242329,0.29853131685938156,0.28394803830555504,0.28990526965686253,-0.04839075341088959,-0.04516246228345799,-0.06526508017310069,-0.052308245728324515,18,-0.004038116814834736,-0.0032934628959212994,-0.0021092908452763877,-0.0004896865396793659,-0.004861092851275506,-0.0028753490675063422,-0.006700872629880901,-0.0023819278149555096,2.3819282131535666,2.3908640601805278,-0.4059796115483286,-0.3865443598811644,0.00595723135130749,0.012956834444776175,64.7795478117506,92.32360827830108,86.38824593850272,100.0,21.92396640702508,30.226463542053768,65.94030532960555,5
5,Tray 5,Microbes,Moisture,Inside,Inside,Microbes | Moisture,Moisture | Inside,Microbes | Inside,7,0.3274781627314431,0.3060092662061964,0.29273010002715244,0.2852906663502966,-0.0237356883542296,-0.0401037148000406,-0.040541765486289294,-0.04950857639695247,45,-0.004343507838036331,-0.005273437047643312,-0.002100759641507462,-0.003221611005340359,-0.004426388726347985,-0.0069061999519666,-0.00014601689541623072,-0.003134953865637289,2.4488202745360987,2.437661124020815,-0.2900771573141222,-0.30352737368011695,-0.0074394336768558444,-0.008966810910663175,55.0969953118267,100.0,58.24024692744803,62.095849857955606,50.35276535602454,59.253216623733486,64.17317901283138,6
12,Tray 12,No Microbes,Moisture,Inside,Inside,No Microbes | Moisture,Moisture | Inside,No Microbes | Inside,7,0.3234026231936046,0.29970670895917073,0.28879697237695967,0.2933168438928468,-0.04489244702937343,-0.04940324758312528,-0.06536877903022932,-0.059843979908951656,9,-0.004325706352080613,-0.0037607224125947233,-0.0025595415001069865,-0.0018689416099472783,-0.00363657886073702,-0.00212995502210798,-0.0053218438157013465,-0.003480244108608791,2.3875920259526797,2.3943718332265105,-0.43813635694262143,-0.4298491582607049,0.0045198715158871194,0.005524799121277665,71.93785470246522,71.66143691653518,79.74552264749886,80.86349314384802,24.05490725030749,15.085011806252435,57.22470441115121,7
4,Tray 4,No Microbes,Heat,Dynamic Heat,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,7,0.3067212445395333,0.2968490149293627,0.29053903775555745,0.2833168368254389,-0.06009448074868743,-0.05571936423491149,-0.0699085954044546,-0.06652926478002749,18,-0.0020227758479969826,-0.0029255509642618013,-0.001226764331970896,-0.0008043480039175077,-0.0021033257246017567,-0.004510726034641273,-0.004729743723181035,-0.003603300181705333,2.372917365814958,2.3620840644197805,-0.4643732076460891,-0.45930421170944846,-0.00722220093011855,0.003379330624427107,50.95542414510449,53.33110594977936,91.61860951648177,95.63422212644804,4.44037564099544,4.7861006726467465,50.12763967524264,8
2,Tray 2,No Microbes,Ideal,Outside,Outside,No Microbes | Ideal,Ideal | Outside,No Microbes | Outside,7,0.31354126547064093,0.300640657544136,0.28722527154854366,0.28722527154854366,-0.049027226040405845,-0.053076033746557526,-0.07348630242049689,-0.07348630242049689,0,-0.0032894992402621587,-0.0032894992402621587,-0.0030573845475113806,-0.0030573845475113806,-0.004471795331864111,-0.004471795331864111,-0.006803422891313121,-0.006803422891313121,2.3667932629585264,2.3667932629585264,-0.39555924691459393,-0.39555924691459393,0.0,0.0,59.1562643657885,34.25565816299566,86.44459464157877,64.3744137029994,7.301171756876498,27.074423074758496,46.434420950832894,9
9,Tray 9,Microbes,Ideal,Inside,Inside,Microbes | Ideal,Ideal | Inside,Microbes | Inside,7,0.3412440082856587,0.2993316692965371,0.28865330134119305,0.266282833474023,-0.004818751334512068,-0.04018549729870362,-0.05107070420469552,-0.06639588156332521,36,-0.006573838368058207,-0.009370146851454465,-0.0057814941087729315,-0.007697141278601643,-0.0035594559851146825,-0.011016278607504704,-0.0036284023019973,-0.008736794754873864,2.514376294825758,2.480820593025003,-0.21854942859322987,-0.2415371946311744,-0.022370467867170063,-0.01532517735862969,15.213970161554455,53.69682836172047,0.0,0.0,76.57175788199051,80.92798106754398,37.73508957880157,10
3,Tray 3,No Microbes,Moisture,Outside,Outside,No Microbes | Moisture,Moisture | Outside,No Microbes | Outside,7,0.30556707850524356,0.30500300526618956,0.2767056441732815,0.27724199273756567,-0.06393493395298716,-0.04746714441903995,-0.08113991974719928,-0.08113477925903026,2,-0.003607679291495261,-0.0035406357209597367,-0.002150623224276515,-0.0021499806632553874,-0.009432453697636031,-0.009253670842874631,-0.011224258442719777,-0.011222544946663436,2.3539701739592207,2.3547746968056473,-0.4730002482554739,-0.47299253752322035,0.0005363485642841948,5.140488169019797e-06,38.208933731509845,13.284358578072924,82.87435136129798,76.96421020017,0.0,0.0,35.22197564517512,11
